Member Name,Username,No. Of Portfolios,ID Verification,Portfolio Verification,Location,Size (KB),Subscription
William Bell,richardsonkim,3,Not verified,Not verified,"Port Jermaine, New Hampshire, Italy",2863.16,Premium
Joshua Smith,jacquelinethompson,3,Verified,Verified,"North Glennville, Vermont, Uzbekistan",3830.36,Premium
Joshua Reyes,gjones,5,Verified,Verified,"Hunterstad, Utah, Bouvet Island (Bouvetoya)",3292.75,Standard
Kenneth Hernandez,rturner,5,Not verified,Not verified,"Taylorside, New Mexico, Gibraltar",544.07,Advanced
Michael Mendez,mmyers,1,Not verified,Not verified,"Kingside, Colorado, Dominica",6261.25,Standard
Kayla Smith DVM,james50,4,Verified,Verified,"Port Craigbury, Massachusetts, Dominica",6007.4,Advanced
Johnny Hood,olsenamanda,0,Not verified,Not verified,"East Samanthashire, Wisconsin, Congo",3984.86,Basic
Joshua Butler,sherri01,3,Verified,Verified,"Heatherchester, Minnesota, Lithuania",862.92,Basic
Monica Villarreal,markwilliams,1,Verified,Not verified,"New Phillip, Michigan, Luxembourg",8718.72,Standard
Elizabeth Bates,mdawson,2,Verified,Not verified,"Jarvismouth, Texas, Libyan Arab Jamahiriya",5295.95,Advanced
Steven Johnson,christineweiss,5,Not verified,Verified,"Hernandezland, South Dakota, Sao Tome and Principe",5380.86,Premium
Olivia Compton,swest,0,Not verified,Not verified,"North Jeremyburgh, Arkansas, Ghana",5966.01,Basic
Xavier Shepherd,levyterri,4,Not verified,Not verified,"Townsendstad, Hawaii, Norfolk Island",7085.43,Premium
Lucas Hughes,diazkatelyn,3,Not verified,Not verified,"Brownstad, North Carolina, Antigua and Barbuda",656.84,Standard
Kimberly Hester,katie18,5,Not verified,Verified,"North Josestad, Hawaii, Gambia",6403.11,Basic
Madison Hart,gibsonemily,4,Not verified,Not verified,"Cynthiaberg, Nebraska, Samoa",2215.69,Basic
Tina Rodriguez,zyoung,2,Not verified,Not verified,"Port Erikashire, Connecticut, Peru",6974.32,Standard
Erika Roy,vincent54,5,Verified,Verified,"Caitlinside, Hawaii, Ireland",3442.34,Standard
Brenda Walker,jessica02,2,Verified,Not verified,"Nelsonborough, Wisconsin, Saint Helena",6023.93,Standard
Tamara Baker,hartashley,5,Not verified,Verified,"Robertfurt, Iowa, Samoa",9744.62,Basic
Laura Wilson,bmccullough,0,Verified,Verified,"South Howard, Virginia, Serbia",7566.99,Premium
Marc Parrish,williamslisa,0,Not verified,Not verified,"Rogersbury, Tennessee, Jersey",945.3,Premium
Raymond Thornton,steven96,0,Not verified,Not verified,"Bushmouth, West Virginia, Egypt",478.62,Premium
Mr. Kevin Mitchell,matthewsrachel,2,Not verified,Verified,"East Erika, California, Saint Vincent and the Grenadines",5735.13,Advanced
Ricky Rivas,joshuacarroll,3,Verified,Verified,"New Marilyn, New Mexico, Saint Vincent and the Grenadines",4896.07,Premium
Jacqueline Montes,lauren68,5,Verified,Verified,"Robertsonbury, Arizona, Niger",4664.79,Advanced
John Hill,khale,4,Not verified,Not verified,"New Thomasfort, New Jersey, Australia",9354.23,Premium
Dana Mccoy,georgevargas,5,Verified,Verified,"Dayborough, Michigan, Dominican Republic",9247.37,Advanced
Adam Barnett,matthew04,0,Not verified,Verified,"Simpsonview, Nebraska, Cyprus",7957.84,Basic
Christopher Joseph,smithtammy,0,Not verified,Verified,"Davidmouth, Texas, Bahamas",9565.88,Standard
Robert Johnson,phillipsadam,3,Not verified,Not verified,"Lake Derek, Alabama, British Indian Ocean Territory (Chagos Archipelago)",2845.85,Advanced
Kimberly Bell,debbie51,5,Verified,Verified,"Michellebury, Illinois, Marshall Islands",2057.47,Advanced
Craig Cortez,ufranco,3,Not verified,Verified,"Fitzgeraldshire, Maryland, Niger",2025.01,Standard
Laura Richardson,kfitzgerald,3,Verified,Not verified,"Jonesborough, Michigan, Barbados",6794.55,Standard
Angela Foster,tparker,2,Not verified,Not verified,"Kingville, South Dakota, Samoa",2002.38,Standard
Michael Johnson,donaldsonrachel,3,Verified,Not verified,"Garciastad, Montana, Mayotte",7527.37,Premium
William Smith,brandonbaker,0,Not verified,Verified,"Scotttown, Virginia, Bolivia",8927.72,Standard
Alejandro Rodriguez,isanders,2,Not verified,Verified,"Garymouth, Delaware, Argentina",3700.47,Premium
Shawn Martinez,alexis06,4,Not verified,Verified,"Hendersonborough, Georgia, Dominica",9110.4,Premium
Rachel Lee,tbeck,5,Verified,Verified,"Lake Jeffreyborough, Mississippi, Belgium",1336.59,Standard
Charles Morales,oliverdavid,2,Not verified,Not verified,"North Victoria, Texas, Romania",4535.05,Premium
Kyle Nichols,elizabethenglish,1,Verified,Verified,"Craighaven, Georgia, San Marino",5136.76,Advanced
Matthew Woods,vcampbell,0,Verified,Not verified,"East Williamville, Washington, Lesotho",1444.54,Standard
Denise Ellis,linda75,5,Verified,Verified,"North Laurietown, Kansas, Sudan",7607.85,Standard
Jesse Ellison,chadmarshall,4,Not verified,Verified,"Port Brandonberg, Tennessee, Wallis and Futuna",2910.05,Premium
Patricia Dyer,sherry71,3,Verified,Not verified,"South Lindamouth, California, Gibraltar",2774.5,Advanced
Sharon Ross,marcuswu,0,Verified,Not verified,"Butlerstad, Oklahoma, Vanuatu",4328.41,Standard
Alexandra Cameron,olove,1,Verified,Verified,"New Christopherchester, Nebraska, Macao",9349.67,Standard
Joseph Jefferson,holmesjessica,0,Not verified,Verified,"West Angelamouth, Wisconsin, Denmark",7930.56,Advanced
Regina Lee,karen54,1,Verified,Not verified,"East Jessica, California, Pakistan",7600.64,Premium
Jonathan Smith,lorijacobson,1,Not verified,Not verified,"West Donaldstad, Virginia, Haiti",9458.78,Premium
Michael Webster,abbotternest,3,Not verified,Not verified,"Blacktown, Tennessee, Austria",9382.67,Basic
Jennifer Mitchell,brandonthomas,0,Not verified,Verified,"East Matthew, Iowa, Belgium",656.59,Basic
John Lambert,robert67,2,Not verified,Not verified,"Lukeville, Connecticut, Colombia",7251,Standard
Daniel Sloan,brownbradley,0,Not verified,Verified,"Dakotatown, Alabama, Haiti",8488.02,Basic
Phillip Olsen,greenechristian,5,Verified,Not verified,"Wardfort, Tennessee, Mauritius",5356.84,Premium
Grant Werner,burchadam,1,Not verified,Verified,"North Kelly, Alabama, Saint Martin",9610.86,Standard
James Bryant,brian72,4,Not verified,Verified,"North Christopherburgh, Ohio, Belize",7430.19,Advanced
Roger Francis,gwhite,5,Verified,Not verified,"New Peterhaven, Vermont, Congo",7432.36,Standard
Kristy Smith,monroeamanda,4,Verified,Not verified,"Samanthaport, Wisconsin, Mauritius",9193.58,Standard
Andrew Wilson,jacob05,3,Not verified,Not verified,"Kathleenfurt, South Carolina, Kyrgyz Republic",9825.43,Advanced
Marie Hendricks,florestara,3,Not verified,Not verified,"Thomastown, Washington, Macao",3836.43,Advanced
Ronald Vasquez,toddmorales,2,Not verified,Not verified,"Brittanyside, Georgia, Andorra",7515.28,Standard
Lisa Mays,cjohns,2,Verified,Verified,"North Graceland, Nebraska, Liechtenstein",2652,Premium
Kristopher Mills,elopez,0,Not verified,Verified,"West Mary, California, Saint Kitts and Nevis",5589.69,Premium
Dr. Sara Morton DDS,johnhogan,5,Not verified,Verified,"Lake Pamela, Vermont, Pakistan",7349.76,Advanced
Victoria Morgan,brittanygordon,5,Verified,Verified,"Port George, Arkansas, Croatia",1828.65,Basic
James Jackson,kenneth97,1,Verified,Not verified,"Nguyenside, Ohio, Vietnam",2175.89,Premium
Margaret Garcia,kathygray,5,Not verified,Verified,"Kellyside, Massachusetts, Kuwait",4180.64,Premium
Emily Griffith,scottshannon,0,Verified,Not verified,"Codystad, Oklahoma, Zimbabwe",1743.01,Premium
Travis Brown,carriesanchez,0,Verified,Verified,"Lake Ryanport, Delaware, Marshall Islands",2755.48,Basic
Michael Campbell,kingjessica,1,Not verified,Not verified,"Port Erin, Rhode Island, Micronesia",1516.92,Premium
Paula Acevedo,brandonmoreno,3,Verified,Not verified,"Tuckerburgh, Utah, Congo",5146.39,Standard
John Harris,qharris,3,Not verified,Not verified,"Jensenland, Mississippi, Lao People's Democratic Republic",1110.58,Advanced
Tammy Dunn,vaughneric,0,Verified,Verified,"Langland, Indiana, Norfolk Island",9260,Basic
Allen Soto,murphysherry,1,Not verified,Verified,"New Danny, Ohio, Vanuatu",1780.25,Standard
Brittany Perez,connie24,3,Verified,Not verified,"Knoxland, Minnesota, Paraguay",3161.68,Advanced
Candice Arias,cherylbrennan,3,Not verified,Verified,"East Davidborough, North Dakota, Poland",7855.05,Basic
Thomas James,deanna43,0,Verified,Verified,"Port Stephanieland, Michigan, Bahamas",4860.97,Basic
Jason Mckenzie,robertjones,0,Verified,Verified,"South Lynnland, Utah, Greenland",1750.94,Advanced
William Robinson,rebecca50,5,Not verified,Verified,"East Kristenberg, Mississippi, Cayman Islands",9980.92,Basic
Stacy Howard,lewistracy,0,Verified,Verified,"Gibbsview, Rhode Island, Philippines",659.59,Advanced
Becky Garcia,rrobertson,5,Not verified,Not verified,"Andrewland, Wyoming, Rwanda",1574.66,Advanced
Kathleen Anderson,sarah10,2,Verified,Not verified,"Lake Jessicaborough, Nebraska, Gambia",5522.66,Standard
Sara Singh,garyjohnson,2,Not verified,Not verified,"Madisonmouth, Pennsylvania, Egypt",9840.46,Basic
Jason Moran,ggentry,2,Not verified,Verified,"North Deborahtown, Connecticut, Gambia",4247.4,Premium
Paul Smith,amy77,1,Not verified,Verified,"West Aprilberg, North Dakota, Cuba",4533.2,Basic
Anna Orr,mejiasandra,5,Not verified,Verified,"Lake Janetview, Indiana, Tanzania",6543.34,Basic
Mrs. Angela Smith,fsingleton,1,Not verified,Verified,"Davidbury, Wisconsin, Seychelles",6091.71,Standard
Anthony Nash,rebecca05,4,Not verified,Verified,"Dylanfort, Colorado, Cook Islands",749.01,Advanced
David Weaver,alyssamcgee,5,Not verified,Not verified,"North Christopher, Iowa, Congo",1668.01,Standard
Michael Carson,knightmark,0,Verified,Not verified,"Jacksonberg, Maryland, Bermuda",1517.94,Premium
Kathy Simmons,ahuerta,3,Verified,Not verified,"South Joanna, Minnesota, Jordan",1860.92,Standard
Sandra Phillips,cesarhenry,3,Not verified,Not verified,"Huynhstad, Indiana, French Guiana",2030.75,Advanced
Christine Rivas,parkerkevin,2,Verified,Not verified,"East Jeffreyland, Alabama, Comoros",290.3,Standard
Joan Poole,dennisdavenport,1,Verified,Verified,"East Terrencefort, New Jersey, Tokelau",1600.1,Standard
Terry Sweeney,kfletcher,5,Not verified,Verified,"Lisaton, Idaho, Venezuela",6180.86,Basic
Rebecca Hamilton,emilygross,4,Not verified,Not verified,"Lake Melissa, Illinois, Greenland",1780.32,Advanced
Bruce Lewis,noah03,2,Not verified,Not verified,"Port Paulport, Kansas, Nicaragua",3048.29,Advanced
Rodney Mccoy,thompsonchristy,4,Verified,Verified,"Shawnatown, Georgia, Dominican Republic",1244.77,Advanced
Cheryl Miller,upatton,5,Verified,Verified,"North Gregorymouth, South Carolina, Barbados",3771.79,Premium
Tammie Jackson,kirbyebony,1,Not verified,Not verified,"Nicoleton, Nevada, American Samoa",6973.92,Premium
Raven Hull,weekskatherine,0,Not verified,Not verified,"Christophershire, Wisconsin, Croatia",8594.04,Standard
Robert Steele,dianekim,0,Not verified,Verified,"South Levi, New York, Botswana",8253.11,Basic
Patricia Stein,vmendoza,1,Not verified,Verified,"Michellefurt, Pennsylvania, Greece",9949.9,Premium
Lisa Pham,carlywebb,2,Verified,Not verified,"North Susanside, Hawaii, Netherlands Antilles",2943.9,Standard
Chris Hill,whiteheadnichole,3,Not verified,Verified,"North Austinbury, North Carolina, Suriname",2952.39,Advanced
Frederick Reed,pterry,1,Verified,Not verified,"South Nathan, Vermont, United Kingdom",7643.3,Advanced
Alicia Anderson,jimenezmorgan,5,Not verified,Not verified,"West Christopherborough, Kansas, Albania",1513.2,Basic
Jenna Ramos,lisa43,5,Not verified,Verified,"Baileyberg, Louisiana, Antarctica (the territory South of 60 deg S)",5546.2,Basic
Jennifer Sullivan,paige86,4,Not verified,Not verified,"North Theodore, Idaho, Antarctica (the territory South of 60 deg S)",4005.33,Standard
Sarah Taylor,englishalexis,0,Not verified,Verified,"Martinezland, Missouri, Saudi Arabia",7318.95,Standard
Daniel Jones,valerie09,5,Verified,Not verified,"Davidfurt, Alabama, Myanmar",3356.47,Advanced
Andrew Miller,ureed,0,Verified,Not verified,"Port Tylerland, Wyoming, Afghanistan",4636.82,Advanced
Holly Zavala,rarias,5,Not verified,Not verified,"Dennisstad, Michigan, Hong Kong",2806.93,Advanced
Danielle West,lewischarles,0,Verified,Not verified,"Port Robert, Texas, Burundi",3255.93,Basic
Rachel Estrada,beth06,5,Not verified,Not verified,"South Mariebury, Nebraska, French Polynesia",6134.26,Premium
James Blair,hkelly,2,Verified,Not verified,"East Christopher, Florida, Guadeloupe",1848.12,Advanced
Matthew Garcia,anitarowland,4,Not verified,Not verified,"Port Debra, Connecticut, Cook Islands",6728.31,Basic
Thomas Wood,victorchristian,3,Verified,Verified,"Stephanieland, Wyoming, Tonga",8982.3,Basic
Adam Washington,raymondbryant,2,Verified,Not verified,"North Aaron, Kansas, Holy See (Vatican City State)",3976.88,Premium
Amber Torres,william98,2,Not verified,Verified,"Lake Danielberg, Hawaii, Hungary",4175.53,Standard
Briana Ray,jenkinskevin,0,Not verified,Not verified,"Port Tina, Maryland, Northern Mariana Islands",9660.67,Standard
Gina Owens,morenosamantha,2,Not verified,Verified,"East Ashleyport, California, Saint Vincent and the Grenadines",5920.5,Advanced
Jennifer Hodges,christina20,1,Not verified,Verified,"North Johnland, South Carolina, Zimbabwe",669.52,Standard
Megan Lozano,chadwalker,1,Not verified,Verified,"Alexandratown, Idaho, Malawi",5969.57,Basic
Sarah Contreras,xmorris,4,Verified,Not verified,"Danielmouth, Alaska, Djibouti",5356.41,Standard
Theodore Stark,cbarrera,1,Not verified,Verified,"South Ryan, Arkansas, Malaysia",5046.9,Premium
Jared Bailey,hstewart,2,Verified,Verified,"Martinchester, Georgia, Armenia",5375.71,Basic
Melanie Montoya,rolsen,4,Verified,Verified,"Andrewville, Tennessee, British Virgin Islands",6391.38,Basic
Jennifer Snow,cassandra02,3,Verified,Verified,"Port Anthonyside, Iowa, Falkland Islands (Malvinas)",5186.29,Standard
Stephanie Davis,farmerbradley,2,Not verified,Verified,"Andersonburgh, South Carolina, Iceland",4432.4,Advanced
Angela Stanton,ihardy,4,Not verified,Verified,"New Jermaineside, Kansas, Jamaica",8519.3,Premium
Tyler Snow,tracey39,4,Not verified,Not verified,"Wrightburgh, Rhode Island, Germany",8066.73,Basic
Michael Warren,nathan33,1,Not verified,Not verified,"South Peggyhaven, Massachusetts, Mauritius",4002.4,Standard
Timothy Curtis,megan71,5,Verified,Verified,"Romeroborough, South Dakota, Pitcairn Islands",2722.79,Advanced
Jessica Wright,edwardsjoshua,2,Verified,Verified,"Travisville, Kentucky, Syrian Arab Republic",7690.18,Basic
Vincent Garcia,jacqueline64,4,Verified,Verified,"Port Derrick, Minnesota, Thailand",9059.6,Premium
Rebecca Schmitt,beanchristina,5,Verified,Not verified,"East Timothyton, Nebraska, Czech Republic",6296.71,Premium
Ana Hardin,dianagibson,4,Not verified,Not verified,"Christopherport, Mississippi, Iraq",574.3,Basic
Janet Briggs,ohernandez,1,Not verified,Verified,"South Nicoleview, Colorado, Grenada",2278.12,Standard
Mariah Barnes,deannajohnson,0,Verified,Verified,"New Larryland, Rhode Island, Mayotte",4731.04,Basic
Diana Castillo,jamesmoore,5,Verified,Verified,"Maciashaven, Arkansas, Comoros",3429.36,Advanced
Sarah Davis,ngriffin,0,Verified,Verified,"North Tonystad, Washington, Jordan",6115.26,Standard
Diana Scott,jessicarhodes,2,Not verified,Not verified,"South Courtney, New Jersey, Vietnam",5829.77,Premium
Craig Owens,richardalvarez,0,Not verified,Not verified,"Sarabury, Illinois, Suriname",4551.6,Advanced
Veronica Little,scottwilliams,3,Not verified,Verified,"East Christopherbury, Kentucky, Nepal",1278.45,Basic
Christopher Le,lesliereyes,5,Not verified,Verified,"South Stevenland, Virginia, Cambodia",3834.74,Basic
David Brown,deborah20,5,Not verified,Verified,"Lanceland, Missouri, San Marino",9591.51,Standard
Matthew Ramirez,melanie92,0,Verified,Verified,"Smithhaven, Oklahoma, Uzbekistan",6391.23,Basic
Laura Snyder,parkercynthia,4,Not verified,Verified,"North Jonathan, Nevada, Bolivia",2077.63,Standard
Briana Johnson,wilkinsbrendan,1,Not verified,Not verified,"Bernardborough, Maine, Gibraltar",3842.88,Premium
Kenneth Herrera,scottjoseph,2,Not verified,Not verified,"Port Brandonburgh, New Jersey, Mongolia",6217.47,Basic
Christopher Clarke,jonathonandrade,5,Verified,Not verified,"Jerrychester, Michigan, New Zealand",402.55,Advanced
Bryan Mitchell,julia37,2,Not verified,Not verified,"East Lindafort, Virginia, Colombia",7194,Premium
Victoria Simpson,aguirremonica,2,Verified,Verified,"Olsonbury, Illinois, Austria",7871.71,Advanced
Jonathan Jacobs,nmerritt,0,Not verified,Not verified,"Combsland, Indiana, Switzerland",991.83,Standard
Keith Jackson,davisjohn,2,Not verified,Not verified,"Port Brandonmouth, California, North Macedonia",8140.89,Premium
Leah Smith,yvaughn,4,Verified,Verified,"Ellismouth, North Dakota, Qatar",7472.28,Basic
John Lindsey,philip88,1,Not verified,Not verified,"Lake Manuel, New Hampshire, Kiribati",9899.5,Standard
Amanda Alvarado,johnsoneric,1,Verified,Not verified,"Garciashire, South Dakota, French Polynesia",1556.11,Basic
Candice Downs,wilsonrandall,1,Not verified,Not verified,"South Benjamin, Kentucky, Lithuania",1137.74,Advanced
Christine Valenzuela,shortjohn,3,Not verified,Verified,"Brittanyview, Virginia, Chad",3576.79,Advanced
Mary Guerra,zpierce,4,Not verified,Not verified,"Lake Marvinside, Utah, United States of America",5546.02,Standard
Christy Holmes,steven34,5,Not verified,Verified,"Smithhaven, Connecticut, Vietnam",7840.06,Standard
Jeffrey Garcia,carrie72,3,Not verified,Not verified,"Floresfort, Texas, Saudi Arabia",2640.4,Standard
Matthew Jackson,ashley25,4,Verified,Not verified,"Haleymouth, Illinois, Costa Rica",5713.74,Advanced
Yolanda Brown,chelseanewman,5,Not verified,Not verified,"North Michael, Massachusetts, Indonesia",6411.47,Premium
Daniel Guerra,ronaldbrown,5,Not verified,Not verified,"Josephshire, North Dakota, El Salvador",4582.69,Basic
Scott Diaz,claudialowery,0,Verified,Not verified,"Lake Elizabethshire, Kentucky, El Salvador",9901.48,Advanced
Timothy Hamilton,qwilson,4,Not verified,Not verified,"Melissafurt, Pennsylvania, Congo",7116.43,Basic
Michelle Forbes,brianwhitney,0,Not verified,Verified,"Larsonberg, Alabama, Guam",5476.73,Advanced
Juan Williamson,jacksoncathy,4,Not verified,Verified,"South Larrybury, Utah, Liechtenstein",3966.69,Standard
Heather Beard,choward,1,Verified,Verified,"South Brittany, Idaho, Panama",3609.59,Basic
Donald Hall,jasonbailey,4,Verified,Verified,"Sarahville, Virginia, Dominica",2047.04,Basic
Susan Williams,rrogers,3,Verified,Not verified,"South Jenna, Oregon, Western Sahara",7354.32,Premium
James Bush,rossjason,5,Verified,Verified,"Port Megantown, Colorado, Nepal",6889.91,Premium
Madison Vincent,jonesjoshua,1,Verified,Not verified,"East Jeffreyberg, Oklahoma, Namibia",4799.09,Basic
Laura Lang,qlowe,2,Verified,Verified,"North Candaceland, Texas, Uruguay",1215.77,Premium
Michael Ward,vmorris,2,Not verified,Not verified,"Dennisshire, Minnesota, Lithuania",2655.03,Advanced
Sarah Santana,turneremily,4,Verified,Verified,"West Catherineshire, Hawaii, Rwanda",9241.76,Advanced
Evan Yates,michaelavila,3,Not verified,Verified,"Port Maria, Vermont, Congo",3586.35,Advanced
Joshua Bishop,jonesamber,1,Not verified,Verified,"Port John, Montana, Botswana",8604.03,Advanced
Jacob Richardson,johnsongabrielle,4,Verified,Verified,"Port Erin, Iowa, Bolivia",8342.19,Premium
Joseph Hernandez,toddleach,5,Verified,Verified,"Dustinborough, Minnesota, Reunion",3604.95,Advanced
Cynthia Griffith,dunlapcarla,1,Not verified,Verified,"Serranoshire, Alaska, Marshall Islands",645.38,Standard
Christopher Alvarez,gonzalezgary,4,Verified,Verified,"North Kyle, Oklahoma, Bhutan",4989.47,Basic
Patricia White,anthony03,2,Verified,Verified,"South Mitchell, Texas, Barbados",4290.58,Standard
Hannah Brown,tpaul,5,Verified,Not verified,"Ronaldborough, Utah, Jamaica",8980.59,Premium
Richard Giles DDS,greynolds,5,Verified,Verified,"Woodstad, Alaska, Timor-Leste",1080.07,Standard
Kimberly Medina,hhernandez,5,Verified,Verified,"North Feliciahaven, Ohio, Greece",9638,Premium
Kristina Brown,tchristensen,4,Verified,Verified,"Lake Crystal, North Dakota, Ethiopia",9004.33,Standard
Brent Abbott,vrichmond,5,Verified,Verified,"Jeanneberg, Virginia, Czech Republic",2884.77,Advanced
Heather Peters,michaelrichardson,2,Verified,Verified,"West Dustin, West Virginia, Holy See (Vatican City State)",3528.76,Premium
Andrea Gonzalez,sandovalmichael,4,Not verified,Verified,"North April, Wyoming, Cook Islands",9425.33,Advanced
Samuel Allen,pierceerin,3,Not verified,Verified,"Stevenland, Tennessee, Somalia",4163.91,Basic
Denise Alexander,jennifer10,4,Not verified,Not verified,"Barnesshire, Utah, Denmark",8523.04,Advanced
Zachary Kaufman,jonesjoel,0,Not verified,Verified,"Pamelabury, North Carolina, Djibouti",6390.35,Basic
Frank Bruce,shughes,5,Not verified,Not verified,"New Andrea, Colorado, Kenya",6339.36,Basic
Rebecca Curtis,gwashington,2,Verified,Not verified,"North John, Colorado, Albania",6312.17,Basic
Laura Freeman,justinjohnson,1,Not verified,Not verified,"Amyton, Washington, United Arab Emirates",5292.7,Advanced
Michelle Carey,shirley53,3,Verified,Not verified,"South Christian, Georgia, Netherlands Antilles",6428.97,Standard
Elizabeth Hughes,ncampbell,4,Not verified,Not verified,"Lake John, Idaho, Panama",9206.21,Basic
Melissa Armstrong,henryashley,1,Not verified,Verified,"Carolland, Mississippi, Cyprus",1702.9,Standard
Colin Miller,rebecca77,4,Verified,Not verified,"Nancymouth, Ohio, Bermuda",4927.17,Standard
Michael Smith,gpatel,0,Verified,Verified,"Port Ellenmouth, South Carolina, Samoa",1790.68,Standard
Robert Levine,roy36,3,Verified,Not verified,"South Benjaminside, Delaware, British Indian Ocean Territory (Chagos Archipelago)",8038.35,Standard
Michael Bentley,amywillis,4,Not verified,Verified,"New Crystalchester, Minnesota, Ethiopia",772.4,Basic
Kristy Strong,brad41,3,Not verified,Verified,"Lake Nicole, Rhode Island, Martinique",9541.09,Advanced
Kevin Perez,jchapman,3,Verified,Verified,"North Ethanbury, North Carolina, Isle of Man",7935.79,Advanced
Cynthia Brown,ijohnson,1,Not verified,Verified,"West Scottport, Iowa, Aruba",9833.18,Basic
Kimberly Guerrero,oochoa,2,Not verified,Verified,"West Carrieside, Arkansas, Suriname",8218.85,Basic
Alexander Bentley,xroy,1,Not verified,Not verified,"Hutchinsonburgh, Rhode Island, Central African Republic",7834.91,Basic
Andrea Wright,emily53,2,Verified,Verified,"West Johnfort, Arkansas, Andorra",2106.5,Basic
Susan Miller,joseph99,1,Verified,Verified,"Kerriland, South Dakota, El Salvador",4574.45,Premium
David Arnold,michaellarson,0,Verified,Verified,"East Edward, Virginia, Qatar",9099.12,Standard
Mary Daugherty,wallacejordan,2,Not verified,Not verified,"East Kara, Pennsylvania, Micronesia",2457.21,Standard
Cheryl Rose,kreid,1,Verified,Verified,"Mcgeehaven, Missouri, Falkland Islands (Malvinas)",5876.5,Basic
Gary Nelson,samantha55,3,Not verified,Not verified,"New Ritamouth, Vermont, Sao Tome and Principe",1920.92,Basic
Barbara Meyers,dorothylee,1,Verified,Not verified,"Yvettebury, Arkansas, Puerto Rico",773.79,Premium
Jason Jordan,normannicholas,5,Verified,Verified,"Port Jamie, Alaska, Cape Verde",7332.28,Premium
Katherine Horn,manningcatherine,1,Not verified,Verified,"Lake Jessica, New Jersey, Georgia",5050.78,Basic
Kelsey Odom,ericjackson,1,Verified,Verified,"Blevinsland, Minnesota, Burkina Faso",8449.47,Premium
Laura Galvan,umullins,2,Verified,Not verified,"Deannamouth, California, Peru",5674.64,Advanced
Jessica Davis,bartlettnicholas,2,Not verified,Verified,"New Sandystad, South Dakota, Netherlands Antilles",534.21,Premium
Sarah Elliott,larsennina,5,Not verified,Not verified,"Erinfurt, Utah, Philippines",6527.03,Advanced
Benjamin Fox DDS,keith74,5,Not verified,Not verified,"West Carlos, Wisconsin, Germany",784.46,Advanced
Pamela Foster,xmcclain,4,Verified,Not verified,"New Jessechester, Tennessee, Libyan Arab Jamahiriya",6766.23,Standard
Kenneth Webb,gomezglenn,4,Not verified,Verified,"Port Jason, Ohio, Somalia",7118.83,Advanced
Chad Rogers,manuel49,3,Not verified,Verified,"Blairberg, Massachusetts, Lesotho",2419.9,Standard
Brian Harris,shelbychristian,1,Not verified,Verified,"Elizabethton, Oklahoma, Japan",4328.55,Basic
Sharon Jones,johnsonrandy,3,Not verified,Not verified,"Shawmouth, Massachusetts, United Kingdom",9880.52,Premium
Robert Rodriguez,baxtercarlos,5,Verified,Verified,"Douglasside, Ohio, Norway",1795.38,Basic
Shirley Morgan,elizabeth96,2,Not verified,Verified,"Douglasfort, Indiana, Denmark",2084.46,Premium
Theresa Riley,darrellduran,0,Not verified,Not verified,"East Amymouth, Mississippi, Hungary",1897.19,Basic
James Wilson,gonzalezjose,5,Not verified,Not verified,"Thomaschester, Florida, Niger",1370.39,Basic
Dr. Debbie Haynes,mquinn,4,Verified,Not verified,"New Lorihaven, Ohio, Rwanda",1816.83,Basic
Christine Riddle,ymartinez,5,Verified,Verified,"Michaelstad, North Carolina, Lithuania",2127.76,Premium
Kirk Jordan,cpatterson,0,Verified,Verified,"Harrisonview, Ohio, Singapore",2911.94,Basic
Tara Tucker,kristi67,0,Verified,Not verified,"North Peter, Arkansas, Botswana",2384.83,Standard
Jessica Boyd,cunninghamkevin,2,Not verified,Not verified,"Kellymouth, Connecticut, Netherlands Antilles",1156.71,Standard
William Williamson,robertgamble,1,Verified,Verified,"Lake Juanmouth, Alaska, Switzerland",2925.9,Basic
Jill Meyer,juliesalazar,2,Verified,Verified,"Howardfort, Texas, Niger",9387.18,Standard
Katrina Petersen,htodd,0,Not verified,Not verified,"Cummingsberg, Connecticut, Russian Federation",7798.49,Basic
Abigail Bates,opope,1,Verified,Not verified,"South Christopherstad, North Carolina, Antarctica (the territory South of 60 deg S)",8524.79,Basic
Michael Wolfe,daniel69,2,Not verified,Verified,"East Matthew, Missouri, Korea",54.31,Advanced
David Silva,ericthompson,2,Not verified,Not verified,"Brianfort, Tennessee, Holy See (Vatican City State)",5266.49,Standard
James Reynolds,danielsdaniel,4,Verified,Not verified,"Katherineside, Connecticut, Saint Pierre and Miquelon",5899.42,Basic
Gregory Jones,wolfeamber,5,Not verified,Verified,"Michaelburgh, Alabama, Guernsey",4299.88,Standard
Kelsey Nash,wardjulia,3,Verified,Not verified,"West Cheryl, Tennessee, San Marino",3782.99,Standard
Daniel Ramirez,kayla40,4,Verified,Verified,"Smithmouth, Washington, Honduras",1105.76,Advanced
Crystal Downs,ibarramonica,5,Not verified,Verified,"Laurabury, Alabama, Malaysia",6886.37,Basic
Jason Barker,nathanielhorn,1,Not verified,Verified,"Collierfurt, New York, Reunion",2067.53,Advanced
Jodi Simpson,katelynmiller,4,Verified,Verified,"South Cynthia, Alaska, Cambodia",9909.15,Basic
Cody Tate,willisdaniel,5,Not verified,Not verified,"Sarahhaven, Connecticut, Timor-Leste",2330.76,Premium
William Reid,whitecrystal,3,Not verified,Not verified,"Taylorburgh, Nevada, Pakistan",9486,Premium
